Company,Reviewer,Department,Rating,Review,Sentiment,Date,Source
Swiggy,Mohit,HR,3.4,"Weekend pressure is heavy, weekdays manageable.",Neutral,2024-11-05,Glassdoor
Swiggy,Avni,Customer Service,3.0,Pay is decent but workload fluctuates.,Neutral,2024-09-29,AmbitionBox
Swiggy,Priya,Finance,3.8,Processes improving but still need structure.,Neutral,2024-08-22,Indeed
Swiggy,Aditi,Tech,3.4,"Weekend pressure is heavy, weekdays manageable.",Neutral,2024-08-17,AmbitionBox
Swiggy,Ishaan,Customer Service,2.5,Limited focus on employee well-being.,Negative,2024-10-20,Indeed
Swiggy,Avni,Tech,4.9,Learning about customer service and logistics.,Positive,2024-08-05,AmbitionBox
Swiggy,Tanya,Tech,3.1,Pay is decent but workload fluctuates.,Neutral,2024-08-10,Indeed
Swiggy,Arjun,Operations,3.5,Mid-management coordination could improve.,Neutral,2024-11-17,AmbitionBox
Swiggy,Sakshi,Finance,4.1,Great incentives and team bonding activities.,Positive,2024-08-20,Glassdoor
Swiggy,Aarav,Tech,3.2,Pay is decent but workload fluctuates.,Neutral,2024-09-07,Indeed
Swiggy,Diya,Customer Service,4.4,Great incentives and team bonding activities.,Positive,2024-11-15,Indeed
Swiggy,Nikhil,HR,3.4,Mid-management coordination could improve.,Neutral,2024-08-11,Indeed
Swiggy,Nisha,HR,3.9,Pay is decent but workload fluctuates.,Neutral,2024-09-26,Indeed
Swiggy,Riya,Operations,4.1,Great incentives and team bonding activities.,Positive,2024-10-20,Glassdoor
Swiggy,Rishabh,Customer Service,4.2,Learning about customer service and logistics.,Positive,2024-10-27,Indeed
Swiggy,Varun,Operations,2.1,Limited focus on employee well-being.,Negative,2024-08-12,AmbitionBox
Swiggy,Aditi,Finance,1.9,Limited focus on employee well-being.,Negative,2024-10-22,Glassdoor
Swiggy,Ananya,Operations,4.5,Learning about customer service and logistics.,Positive,2024-09-25,Indeed
Swiggy,Trisha,Operations,3.3,"Weekend pressure is heavy, weekdays manageable.",Neutral,2024-08-31,Glassdoor
Swiggy,Shreya,Tech,4.6,Good app infrastructure and transparency.,Positive,2024-11-16,Indeed
